Density Matrices

state: 0.0     eng: 0.0     s(s+1): 3.6256     ms: 1.4496
0.010279-0.104821j	-0.023748+0.011906j	0.001058+0.000884j	-0.011823-0.056210j	0.000704+0.000433j	0.015332-0.008666j	0.001245-0.002530j	-0.036536-0.126115j	-0.010836-0.001862j	-0.003509-0.000687j	-0.179916-0.005028j	0.630566	 -0.003949-0.000420j	-0.001597+0.002507j	
0.000666+0.000220j	-0.000045+0.000880j	-0.024930-0.001244j	0.000055-0.000748j	0.043750+0.016161j	0.001181+0.001172j	-0.014340-0.060956j	-0.004849+0.000091j	-0.059140+0.060569j	-0.008663-0.350352j	0.004823-0.001305j	-0.003949+0.000420j	0.557447	 -0.064971+0.090592j	
-0.000490+0.000623j	0.000053+0.000632j	0.004391+0.061831j	-0.000320-0.000015j	0.002890+0.103873j	-0.000129+0.000170j	-0.001135-0.014353j	-0.002272-0.003085j	-0.050132+0.035347j	0.082887-0.033216j	0.002349+0.007599j	-0.001597-0.002507j	-0.064971-0.090592j	0.607846	 

state: 5.0     eng: 0.9989459129235456     s(s+1): 3.2116     ms: 1.2538
0.953033	 -0.001173-0.004523j	-0.000083-0.001090j	-0.005744+0.001185j	0.000127-0.002041j	-0.003015-0.002853j	-0.000341+0.000020j	0.030894-0.019713j	-0.000158+0.001478j	-0.000141-0.000524j	-0.001631+0.129445j	-0.006974+0.032153j	0.000257+0.000105j	0.005628+0.000005j	
-0.001173+0.004523j	0.975939	 -0.000315+0.000235j	0.002637+0.004110j	0.000026-0.000149j	-0.022755+0.004952j	0.000193+0.001380j	-0.024795-0.111337j	0.002774-0.000736j	-0.001082-0.001331j	0.003659+0.006802j	-0.022542+0.004088j	0.002547+0.000734j	0.000271+0.000370j	
-0.000083+0.001090j	-0.000315-0.000235j	0.960890	 0.000178+0.001599j	-0.009929+0.000618j	-0.000693+0.000335j	0.001785+0.013537j	-0.000321-0.001350j	0.006051-0.005915j	-0.028399-0.097675j	0.000814-0.000320j	0.004921+0.000400j	-0.032194+0.021542j	-0.001950-0.076402j	
-0.005744-0.001185j	0.002637-0.004110j	0.000178-0.001599j	0.972373	 -0.000121+0.000521j	-0.002347-0.013530j	-0.000689-0.000022j	0.032326-0.008197j	0.001210+0.000553j	0.005270-0.001027j	0.006877-0.045039j	-0.021042+0.087771j	-0.001575-0.000782j	0.000213+0.000038j	
0.000127+0.002041j	0.000026+0.000149j	-0.009929-0.000618j	-0.000121-0.000521j	0.961026	 0.000159-0.000131j	-0.002809-0.000245j	0.000069+0.000858j	-0.018039+0.010975j	-0.002705+0.003795j	0.006932-0.000655j	0.000245-0.000119j	-0.013346+0.002007j	-0.001944-0.111239j	
